Title,release_year,IMDb
Devil's Bride,2016,6
Don't Knock Twice,2016,5.1
Drink Drank Drunk,2016,4.1
Emelie,2016,5.4
Fitoor,2016,5.4
Frank & Lola,2016,5.9
Friend Request,2016,5.3
Gang of the Caribbean,2016,5.1
Getaway Plan,2016,5.6
Ghost Patrol,2016,4.9
Goon: Last of the Enforcers,2016,5.8
Havenhurst,2016,4.8
Here Alone,2016,5.6
Heroes Wanted,2016,4.6
Hide and Seek,2016,5.9
Holidays,2016,5.1
Hostage to the Devil,2016,5.8
Hot Property,2016,4
Hypersomnia,2016,5.5
I Am the Pretty Thing That Lives in the House,2016,4.5
I Am Wrath,2016,5.4
Indiscretion,2016,4.8
Jessica Darling's It List,2016,5.4
Küçük Esnaf,2016,5.6
Kevin Hart: What Now?,2016,5.9
Kickboxer: Vengeance,2016,4.9
Lady Bloodfight,2016,5.6
LEGO Jurassic World: The Indominus Escape,2016,5.7
Little Boxes,2016,5.9
Love Beats Rhymes,2016,5.3
Loving,2016,5.3
Macho,2016,4.3
Maroon,2016,5.1
Mascots,2016,5.7
Menorca,2016,4.3
Mercy,2016,4.2
Mine,2016,5.9
Mohenjo Daro,2016,5.7
Money,2016,5.5
Mostly Sunny,2016,5.4
Mr. Pig,2016,5.7
My Entire High School Sinking Into the Sea,2016,6
Needhi Singh,2016,6
Ordinary World,2016,5.5
People You May Know,2016,5.6
Planetarium,2016,4.6
Pup Star,2016,4.3
Rainbow Time,2016,5.9
Raising the Bar,2016,5.6
Rampage: President Down,2016,4.8
Rebirth,2016,5
Rocco,2016,5.8
S Storm,2016,5.1
Sadie's Last Days on Earth,2016,5.2
Sardaarji 2,2016,5.3
Sex Doll,2016,4.5
Shortcut Safari,2016,6
Skiptrace,2016,5.7
Special Correspondents,2016,5.8
Strange Weather,2016,5.9
Tellur Aliens,2016,4.3
Term Life,2016,5.5
Teshan,2016,5.2
The Assignment,2016,4.6
The Bad Batch,2016,5.3
The Blind Christ,2016,5.9
The Christmas Project,2016,5.3
The Darkest Dawn,2016,4
The Do-Over,2016,5.7
The Doll,2016,5.3
The Drowning,2016,4.4
The Duel,2016,5.8
The Girl from the Song,2016,5.6
The Last Face,2016,4.9
The Legend of Michael Mishra,2016,4.5
The Monster,2016,5.4
The Promise,2016,5.7
The Rehearsal,2016,5.7
The Super Parental Guardians,2016,4.4
The Tenth Man,2016,5.7
The Tiger Hunter,2016,5.7
The Unmarried Wife,2016,6
The Wedding Party,2016,6
The Worthy,2016,5.2
Theo Von: No Offense,2016,5.6
They Are Everywhere,2016,5.4
Tik Tok,2016,5.6
Tini: The New Life of Violetta,2016,5.5
Toro,2016,5.9
Trespass Against Us,2016,5.8
True Memoirs of an International Assassin,2016,5.9
Undercover Grandpa,2016,5.2
USS Indianapolis: Men of Courage,2016,5.2
Veerappan,2016,5.3
Vincent N Roxxy,2016,5.5
War on Everyone,2016,5.8
We Need to Talk,2016,5.8
West Coast,2016,5.8
White Girl,2016,5.7
White Island,2016,4.2
Why Knot,2016,5.1
Wild Oats,2016,5.7
XOXO,2016,5.3
#realityhigh,2017,5.2
24 Hours to Live,2017,5.7
48 Christmas Wishes,2017,4
68 Kill,2017,6
A Bad Moms Christmas,2017,5.6
A Christmas Prince,2017,5.7
A StoryBots Christmas,2017,5.9
A Witches' Ball,2017,5.1
Acts of Vengeance,2017,5.7
Aditi Mittal: Things They Wouldn't Let Me Say,2017,4.4
All of You,2017,5.3
Baadshaho,2017,4.9
Beyond Skyline,2017,5.3
Blockbuster,2017,5.5
Bokeh,2017,5
Bomb Scared,2017,5.6
Brad Paisley's Comedy Rodeo,2017,5.5
Bullet Head,2017,5.4
Burlesque: Heart of the Glitter Tribe,2017,5.8
Bushwick,2017,5.2
Chicken Kokkachi,2017,4.9
Chris Brown: Welcome to My Life,2017,5.7
Christmas Inheritance,2017,5.7
Christmas Wedding Planner,2017,4.3
Chupan Chupai,2017,5.8
Clinical,2017,5.1
Coffee for All,2017,5.8
