Title,IMDb
Errementari: The Blacksmith and the Devil,6.3
Jimmy Neutron: Boy Genius,6.0
World Trade Center,5.9
I Am Kalam,8.0
PEEPLI [Live],7.4
My Scientology Movie,6.7
Latin History for Morons: John Leguizamo's Road to Broadway,7.5
Mortal Kombat,5.8
Behind the Curve,6.5
Soni,7.2
Carriers,6.0
Tig,7.4
Patton Oswalt: Annihilation,7.2
Trixie Mattel: Moving Parts,7.3
Petta,7.3
The Bill Murray Stories: Life Lessons Learned from a Mythical Man,7.0
Can't Hardly Wait,6.5
The Confirmation,6.4
The First Wives Club,6.4
Colonia,7.1
Free Fire,6.4
Life As We Know It,6.5
To All the Boys: P.S. I Still Love You,6.0
Cop Car,6.3
Urban Cowboy,6.3
Above the Rim,6.6
Screwball,7.1
Prosecuting Evil: The Extraordinary World of Ben Ferencz,7.3
The Incident,6.4
Resident Evil: Extinction,6.3
American Assassin,6.2
Rang De Basanti,8.2
Open Season,6.1
Strong Island,6.4
Resident Evil: Apocalypse,6.2
Smoke & Mirrors,6.9
Sky Ladder: The Art of Cai Guo-Qiang,7.3
Kate & Leopold,6.4
Raiders!: The Story of the Greatest Fan Film Ever Made,6.9
Then Came You,7.0
The Forest of Love,6.4
I Called Him Morgan,7.3
The Money Pit,6.4
The Angel,6.6
Burlesque,6.4
My Masterpiece,7.1
Mr. Church,7.6
Murder Mystery,6.0
Audrie & Daisy,7.2
Miss Hokusai,6.7
Dumplin',6.6
The Invention of Lying,6.4
Breath,6.7
Kodachrome,6.8
Operation Red Sea,6.7
Murder Party,5.8
Woodstock: Three Days That Defined a Generation,7.6
Laggies,6.4
Eye for an Eye,6.6
Cowspiracy: The Sustainability Secret,8.3
Eddie Murphy: Delirious,8.2
The Aerial,7.4
Fire in Paradise,7.4
Cookie's Fortune,6.8
Before I Wake,6.2
Layla M.,6.7
Mountain,7.2
Center Stage,6.7
Mr. Right,6.3
Tamasha,7.3
Just Another Love Story,7.2
Quartet,6.8
Dil Chahta Hai,8.1
"Bikram: Yogi, Guru, Predator",6.7
Dolphin Tale 2,6.4
No One Killed Jessica,7.2
I Am Bolt,7.1
Evolution,6.1
BuyBust,5.8
Advantageous,6.2
The Iron Lady,6.4
Son of a Gun,6.5
Rugrats in Paris: The Movie,6.1
On My Skin,7.3
Sweetheart,5.7
Raees,6.8
The Rover,6.4
Paan Singh Tomar,8.2
The Other Side of the Wind,6.8
The Garden of Words,7.5
The Legend of 420,6.7
Let It Fall: Los Angeles 1982-1992,7.7
Manto,7.4
Rainbow,8.0
Walking Out,5.8
Holy Hell,7.1
After,5.4
Jersey Boys,6.8
Flavors of Youth,6.6
Nappily Ever After,6.4
Final Destination 3,5.8
"To Wong Foo, Thanks for Everything! Julie Newmar",6.6
Elizabeth: The Golden Age,6.8
37 Seconds,7.3
A Futile and Stupid Gesture,6.8
The Green Hornet,5.8
Dear John,6.3
Heroin(e),6.8
Guzaarish,7.4
Imperial Dreams,6.8
Between Two Ferns: The Movie,6.1
13 Sins,6.3
Kiss the Girls,6.6
Newness,6.4
Mr. Roosevelt,6.2
Justin Timberlake + The Tennessee Kids,7.8
Battle: Los Angeles,5.7
Hondros,7.5
When We First Met,6.4
(T)ERROR,6.6
Kuch Kuch Hota Hai,7.6
Trailer Park Boys: The Movie,7.2
G.O.R.A.,8.0
Phantom Boy,6.6
Survivor's Guide to Prison,7.1
Transcendence,6.3
Jagga Jasoos,6.5
The Perfect Date,5.8
A Fortunate Man,7.2
Kahaani,8.1
Andaz Apna Apna,8.2
Let It Snow,5.8
Middle School: The Worst Years of My Life,6.1
The Little Hours,5.8
Aval,6.8
The Unknown Known,7.0
Kahlil Gibran's The Prophet,7.1
The Princess Switch,6.0
The Blackcoat's Daughter,5.9
What We Started,7.0
Let There Be Light,7.4
Into the Forest,5.8
God Knows Where I Am,7.3
Stuart Little 2,5.4
The Rolling Stones: Olé Olé Olé! – A Trip Across Latin America,7.5
Sand Storm,6.8
From Paris with Love,6.5
Luck by Chance,7.0
I Am Jane Doe,6.8
Pee-wee's Big Holiday,6.1
Promised Land,6.6
Carrie Pilby,6.6
Seeing Allred,6.8
Goldstone,6.5
The Signal,6.1
The Red Sea Diving Resort,6.5
Self/less,6.5
The Burial of Kojo,6.4
Horse Girl,5.9
Headshot,6.3
Joan Didion: The Center Will Not Hold,7.4
Circle,6.0
Chris Rock: Tamborine,6.5
The Monster,5.4
Sergio,6.1
The C Word,7.6
John Mulaney: New in Town,8.3
In the Shadow of the Moon,6.2
Mirror Mirror,5.6
Hasee Toh Phasee,6.8
Bhavesh Joshi Superhero,7.6
Brooklyn's Finest,6.7
Wakefield,6.3
Wish I Was Here,6.7
Lu Over the Wall,6.8
Man of Tai Chi,6.1
Comedian,6.9
Alive and Kicking,6.6
The Secret,5.6
Louis C.K.: Hilarious,8.5
Notes on Blindness,7.1
The Kissing Booth,6.1
Horns,6.5
Emelie,5.4
Best Worst Thing That Ever Could Have Happened...,7.5
Go!,5.9
First Match,6.3
Grass is Greener,7.2
The Short Game,7.4
Sunday's Illness,6.9
Ten Years,6.7
Chicken Little,5.7
Kicking and Screaming,6.8
The Ravenous,5.9
Animal World,6.5
Michelle Wolf: Joke Show,7.1
Kevin Hart: Let Me Explain,6.8
Fun with Dick and Jane,6.2
Seoul Searching,7.1
The Keeping Hours,6.3
Kickboxer: Retaliation,5.0
Weed the People,7.0
Time Share,6.0
Johnny English Reborn,6.3
Fire in the Blood,7.7
Dil Dhadakne Do,6.8
6 Days,6.2
Morris from America,6.2
Joshua: Teenager vs. Superpower,7.0
Highway,7.7
Sweet Virginia,6.2
Chloe,6.3
Manson Family Vacation,5.8
Benji,6.3
Roll Red Roll,7.1
All About Nina,6.0
Heartbreakers,6.2
Mercury 13,6.8
Kevin Hart: What Now?,5.9
"Michael Bolton's Big, Sexy Valentine's Day Special",6.7
All Day and a Night,5.9
ARQ,6.4
Nighthawks,6.4
Quién te cantará,7.0
Romeo Must Die,6.1
Love Off the Cuff,6.5
47 Meters Down,5.6
Udaan,8.2
Barakah Meets Barakah,6.2
Ghost Rider,5.2
FYRE: The Greatest Party That Never Happened,7.2
Cardboard Gangsters,6.4
Khosla Ka Ghosla!,8.3
Sierra Burgess Is a Loser,5.8
Same Kind of Different as Me,6.6
Cult of Chucky,5.2
Tremors 2: Aftershocks,6.0
May the Devil Take You,6.0
Invader ZIM: Enter the Florpus,7.5
Dovlatov,6.4
Jupiter Ascending,5.3
The Occupant,6.3
Shutter,7.1
E-Team,7.1
Class Rank,6.4
Wildling,5.5
Velvet Buzzsaw,5.7
Win It All,6.2
Sprinter,6.0
Palm Trees in the Snow,7.4
Nacho Libre,5.7
Chasing Trane,7.3
Lady J,6.9
Voyeur,6.2
The Breaker Upperers,5.9
Dinner for Schmucks,5.9
Mike Birbiglia: My Girlfriend's Boyfriend,8.0
School Daze,6.0
The Knight Before Christmas,5.5
Mitt,6.9
Terrifier,5.6
Resident Evil: Afterlife,5.8
Conor McGregor: Notorious,7.2
Khoobsurat,6.4
Game Over,7.1
The Ballad of Lefty Brown,6.3
Main Hoon Na,7.0
The Untold Tales of Armistead Maupin,7.6
The Space Between Us,6.4
The Physician,7.2
Karthik Calling Karthik,7.0
Ginger & Rosa,6.3
White Girl,5.7
The Time Machine,6.0
Look Who's Back,7.1
Ellen DeGeneres: Relatable,6.5
Kabhi Alvida Naa Kehna,6.1
The Drug King,6.1
Long Time Running,7.8
Maps to the Stars,6.2
Lovesong,6.3
Looney Tunes: Back in Action,5.7
Homecoming: A Film by Beyoncé,7.4
A Christmas Prince,5.7
Occupation,5.1
Marc Maron: Too Real,7.2
Steal a Pencil for Me,7.5
"Faith, Hope & Love",6.1
The Bling Ring,5.6
Pokémon the Movie: The Power of Us,6.3
Chronicle of an Escape,7.2
The Tourist,6.0
God of War,6.4
Menashe,6.5
Lez Bomb,5.0
National Bird,7.1
System Crasher,7.9
The 36th Chamber of Shaolin,7.7
What a Girl Wants,5.8
Candy Jar,5.8
He Named Me Malala,6.9
Te3n,7.3
Race to Witch Mountain,5.7
A Gray State,6.2
Chupke Chupke,8.4
The Land of Steady Habits,6.2
A Night at the Roxbury,6.3
Neon Genesis Evangelion: Death and Rebirth,7.5
My Big Night,6.0
Song for Marion,7.0
The Discovery,6.3
The Laundromat,6.3
Gol Maal,8.6
Lifechanger,5.4
Would You Rather,5.7
The Butterfly's Dream,7.8
Vizontele,8.0
Hasan Minhaj: Homecoming King,8.3
Una,6.2
Bethany Hamilton: Unstoppable,7.3
Alone in Berlin,6.5
Dhobi Ghat,7.0
Burning Sands,6.1
The Great Hack,7.0
We Are Your Friends,6.2
Barry,5.8
John Mulaney: The Comeback Kid,7.9
The Rugrats Movie,5.9
Bill Burr: You People Are All The Same,8.3
Bill Nye: Science Guy,6.1
Hit & Run,6.1
Kabir Singh,7.1
The Most Unknown,6.6
Mean Dreams,6.3
Ali Wong: Hard Knock Wife,7.4
Trophy,7.3
Dream Big: Engineering Our World,6.4
Toilet - Ek Prem Katha,7.2
Pope Francis: A Man of His Word,6.1
68 Kill,6.0
Head On,6.5
Berserk: The Golden Age Arc II - The Battle for Doldrey,7.8
Waar,7.9
