Title,type,country,date_added,release_year,rating,description,IMDb,Genre
Queen Sono,TV Show,South Africa,2020-02-28,2020,TV-MA,South African spy Queen Sono finds herself in a nefarious web of business and politics as she seeks to uncover the truth behind her mother's death.,5.8,Drama
Queer Eye,TV Show,United States,2020-06-05,2020,TV-14,"An all-new “Fab Five” advise men on fashion, grooming, food, culture and design in this modern reboot of the Emmy Award-winning reality series.",8.5,Reality
Queer Eye: We're in Japan!,TV Show,United States,2019-11-01,2019,TV-14,"The Fab Five touch down in Tokyo to spread the joy, explore the culture, and help four Japanese men and women find the confidence to be themselves.",8.3,Reality
Quién te cantará,Movie,Spain,2019-02-28,2018,TV-MA,"When a near-drowning leaves a famous singer from the '90s with amnesia, she hires a karaoke singer who can imitate her to prep her for a comeback tour.",7.0,Drama
Quicksand,TV Show,Sweden,2019-04-05,2019,TV-MA,"After a tragedy at a school sends shock waves through a wealthy Stockholm suburb, a seemingly well-adjusted teen finds herself on trial for murder.",7.5,Crime
Quiet Victory: The Charlie Wedemeyer Story,Movie,United States,2011-10-01,1988,TV-PG,"When high school football coach Charlie Wedemeyer is diagnosed with Lou Gehrig's disease, he perseveres in leading his team despite becoming disabled.",7.7,Drama
Quincy,Movie,United States,2018-09-21,2018,TV-MA,"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.",7.6,Documentaries
Raajneeti,Movie,India,2018-08-02,2010,TV-14,"When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path.",7.1,Drama
Rabbids Invasion,TV Show,France,2019-07-01,2018,TV-Y7,"Giant, rambunctious rabbits have invaded and are wreaking havoc on the world. But we'll have to get used to them, because they're not going anywhere!",5.0,Comedy
Race,Movie,India,2018-10-01,2008,TV-14,The plot thickens around two horse-racing competitors when three beautiful women come into their lives and a murder is committed.,6.7,Action & Adventure
Race 2,Movie,India,2018-10-01,2013,TV-14,"In this sequel set in the world of horse racing, half-brothers Ranvir and Rajiv Singh return for another complex tale of love, greed and violence.",5.3,Action & Adventure
Race to Witch Mountain,Movie,United States,2019-07-01,2009,PG,A sister and brother with special powers are on the run from a mysterious organization that wants to take advantage of the siblings' gifts.,5.7,Children
Radio Rebel,Movie,United States,2019-03-01,2012,TV-G,"Shy student Tara has a secret identity: She is smooth-talking Radio Rebel, a DJ who lends her voice to all kids, popular and unpopular alike.",6.0,Comedy
Raees,Movie,India,2017-05-26,2017,TV-14,"After street smart kid Raees rises to become Gujarat's bootlegging king in the 1980s, he tries to balance his life of crime with helping his people.",6.8,Drama
Rafinha Bastos: Ultimatum,Movie,Brazil,2018-09-21,2018,TV-MA,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again.",6.5,Comedy
Ragini MMS,Movie,India,2019-05-31,2011,TV-MA,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,4.9,Horror
Ragini MMS 2,Movie,India,2019-05-31,2014,TV-MA,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.,3.9,Horror
Ragnarok,TV Show,Norway,2020-01-31,2020,TV-MA,"In a Norwegian town poisoned by pollution and rattled by melting glaciers, the End Times feel all too real. It’ll take a legend to battle an old evil.",7.5,Drama
Raiders!: The Story of the Greatest Fan Film Ever Made,Movie,United States,2016-09-16,2015,NR,"Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot.",6.9,Documentaries
Rainbow Jelly,Movie,India,2019-04-15,2018,TV-14,"Mistreated by his cruel uncle, an imaginative orphan with autism sees hope when a fairy vows to change his life with a week of enchanted recipes.",7.4,Drama
Rainbow Time,Movie,United States,2016-12-01,2016,TV-MA,"A developmentally disabled man obsessed with the Fonz, guns and all things kinky poses a challenge for his arrogant brother when he moves in with him.",5.9,Comedy
Raising Dion,TV Show,United States,2019-10-04,2019,TV-PG,A widowed mom sets out to solve the mystery surrounding her young son's emerging superpowers while keeping his extraordinary gifts under wraps.,7.2,Drama
Raising the Bar,Movie,Australia,2017-08-01,2016,TV-Y,A teenager who gave up her spot in an elite U.S. gymnastics program when her family moved to Australia enters a competition to help a new friend.,5.6,Drama
Raja Hindustani,Movie,India,2017-05-01,1996,TV-14,"When a poor taxi driver falls in love with a wealthy young woman, he must stand up to her family and contend with his own insecurities.",6.2,Drama
Raja Natwarlal,Movie,India,2018-11-01,2014,TV-14,A small-time con man assembles a team to help him avenge the death of his partner-in-crime at the hands of a powerful gangster.,6.1,Drama
Raja Rasoi Aur Anya Kahaniyan,TV Show,India,2018-07-05,2014,TV-G,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",8.8,Documentaries
Rajma Chawal,Movie,India,2018-11-30,2018,TV-MA,"Hoping to revive his relationship with his resentful millennial son, an internet-rookie widower assumes the online persona of a young woman.",5.8,Comedy
Rake,TV Show,Australia,2018-10-16,2018,TV-MA,"While Cleaver Greene is a brilliant and driven attorney, he's also an ex-druggie, a current gambling addict and loathed by many of his colleagues.",8.6,Crime
Rakkhosh,Movie,India,2019-06-20,2019,TV-MA,An asylum patient’s troubled past threatens his grasp on reality as fellow hospital residents begin disappearing at the hands of an unknown entity.,4.7,Horror
Ralphie May: Imperfectly Yours,Movie,United States,2015-06-29,2015,TV-MA,"Comedian Ralphie May takes to the Las Vegas stage with his raw, rollicking take on men's fashion, racism, sex and even waffles. Filmed live in 2013.",5.6,Comedy
Ralphie May: Unruly,Movie,United States,2015-02-27,2015,TV-MA,"Filmed in front of a raucous crowd, comedian Ralphie May unleashes his hilariously raunchy perspective in his first Netflix original stand-up special.",4.7,Comedy
"Ram Dass, Going Home",Movie,United States,2018-04-06,2018,TV-14,"From his home on Maui, pioneering researcher, author and spiritual teacher Ram Dass reflects on love, life and death as his own days draw to a close.",7.0,Documentaries
Ram Jaane,Movie,India,2017-05-15,1995,TV-14,"Two boyhood pals – one righteous, the other a criminal – take very different paths to adulthood. Their love for the same woman may prove disastrous.",5.4,Drama
Ramayan,TV Show,India,2018-04-01,2012,TV-14,A prince's divine destiny to rule as a king is thwarted by his stepmother's scheme to put her own child on the throne in this legendary epic.,9.3,Drama
Rampage: President Down,Movie,Canada,2017-01-05,2016,TV-MA,"Lone-wolf vigilante Bill Williamson is back, taking aim at the U.S. government and eluding the pursuit of two FBI agents who are on his trail.",4.8,Action & Adventure
Rampant,Movie,South Korea,2019-05-26,2018,TV-MA,"When Prince Lee Cheong returns to Joseon after his brother’s death, he finds the kingdom plagued by deadly creatures – but they’re not the only threat.",6.3,Horror
Rang De Basanti,Movie,India,2018-08-02,2006,TV-14,An idealistic English filmmaker casts a group of student actors in her docudrama about India's revolution against British rule in the 1920s.,8.2,Drama
Rangoon,Movie,India,2017-05-29,2017,TV-14,"During World War II, daredevil star Miss Julia entertains soldiers at the Indo-Burma border, where she's caught up in a web of love and deceit.",5.7,Drama
Rangreza,Movie,Pakistan,2018-08-01,2017,TV-14,"A high-flying rock star and son of a politician falls for a woman from a qawwal family, leading to a love triangle that may consume everyone involved.",5.4,Drama
Rapture,TV Show,United States,2018-03-30,2018,TV-MA,Groundbreaking artists share their life stories in this vibrant documentary series that captures hip-hop's impact on global culture.,7.1,Documentaries
Rattlesnake,Movie,United States,2019-10-25,2019,TV-MA,"After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",4.6,Horror
"Ray Romano: Right Here, Around the Corner",Movie,United States,2019-02-05,2019,TV-MA,"Ray Romano cut his stand-up teeth at the Comedy Cellar in New York. Now, in his first comedy special in 23 years, he returns to where it all began.",7.2,Comedy
Razia Sultan,TV Show,India,2017-04-01,2015,TV-14,"This sweeping historical drama charts the rise of a remarkable real-life figure, the first woman to ever rule the Delhi Sultanate.",5.7,Drama
Re:Mind,TV Show,Japan,2018-02-15,2017,TV-MA,"Eleven high school classmates awaken, restrained to a large dining room. While fearing for their lives, they question a motive to this bizarre act.",5.0,Drama
Reaction,Movie,Egypt,2019-06-20,2011,TV-14,"When a series of seemingly random people are murdered, baffled police search for a killer who may have a connection to them all.",4.5,Drama
Ready,Movie,India,2017-10-22,2011,TV-PG,"Bollywood superstar Salman Khan plays Prem, an heir to a perfume fortune who falls in love with the wrong woman in this romantic comedy.",4.7,Comedy
Ready to Mingle,Movie,Mexico,2019-10-02,2019,TV-MA,"After the man she thought she'd marry breaks up with her, Ana joins a class for single women who are in search of a husband.",5.9,Comedy
Real Rob,TV Show,United States,2017-09-29,2017,TV-MA,Go inside the world of comedian and actor Rob Schneider in this comedy series that follows the ups and downs of his career and family life.,6.4,Comedy
Rebellion,TV Show,Ireland,2020-06-27,2016,TV-MA,"As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule.",7.1,Drama
Rebirth,Movie,United States,2016-07-15,2016,TV-MA,"Long-lost buddy Zack gets suburban dad Kyle on a bus to a Rebirth seminar, sending him down a rabbit hole of psychodrama, seduction and violence.",5.0,Drama
Recall,Movie,Canada,2019-06-25,2018,TV-MA,"Struggling to move on from a heartbreaking loss, Mikey is drawn into a dangerous underworld robbery orchestrated by his unreliable stepbrother Dale.",2.7,Drama
Reckoning,TV Show,Australia,2020-05-01,2019,TV-MA,"When a local teen is murdered in their quiet, suburban community, two fathers intent on protecting their families must contend with their inner demons.",6.4,Crime
Record of Grancrest War,TV Show,Japan,2019-07-01,2018,TV-MA,"Lone mage Siluca wanders the land of Atlatan, disgusted by its greedy nobility. When she meets knight errant Theo, she sees a chance to create peace.",7.2,Anime
Recovery Boys,Movie,United States,2018-06-29,2018,TV-MA,"In a region ravaged by opioid abuse, four young men in a farming-based rehab forge a bond as they try to reinvent their lives after years of addiction.",6.5,Documentaries
Rectify,TV Show,United States,2017-03-04,2016,TV-MA,"Convicted of rape and murder at age 18, Daniel Holden spends nearly 20 years on death row until DNA evidence brings the verdict into question.",8.3,Crime
Red Dawn,Movie,United States,2019-12-31,1984,PG-13,A group of teenagers witnesses Soviet and Cuban paratroopers descending on their small Colorado town and systematically setting off World War III.,6.4,Action & Adventure
Red Oleanders Raktokarobi,Movie,India,2018-09-15,2017,TV-14,"When a theater group stages a production of a Rabindranath Tagore play, they begin to notice parallels between the story and their own lives.",7.3,Drama
Refresh Man,TV Show,Taiwan,2016-12-01,2016,TV-14,"Ten years after a once-promising student graduates, she finds herself working at a cosmetics company run by the boy with the worst grades in school.",7.6,Comedy
Regatta,Movie,Egypt,2019-05-09,2015,TV-MA,Inside one of Cairo's most impoverished areas exists a place where criminals control everything and everyone.,4.5,Drama
Reggie Watts: Spatial,Movie,United States,2016-12-06,2016,TV-MA,"The comic innovator delivers a surreal set blending experimental songs, jokes about grits, guns and drugs, and other improvised comedy adventures.",6.1,Comedy
Reign,TV Show,United States,2017-09-05,2017,TV-14,"This vivid historical drama series tells of the rise to power of Mary, Queen of Scots, amid a court full of sexual and political intrigue.",7.5,Drama
Reincarnated,Movie,United States,2016-06-13,2012,R,"Vice magazine's Andy Capper follows rapper Snoop Dogg on a pilgrimage to Jamaica, where he rechristens himself Snoop Lion, a reggae artist.",6.2,Documentaries
ReMastered: Devil at the Crossroads,Movie,United States,2019-04-26,2019,TV-14,"Cloaked in mystery, bluesman Robert Johnson left his mark on American music. Now family, critics and famous fans look for the real man behind the music.",7.0,Documentaries
ReMastered: Massacre at the Stadium,Movie,United States,2019-01-11,2019,TV-MA,"The shocking murder of singer Victor Jara in 1973 turned him into a powerful symbol of Chile's struggle. Decades later, a quest for justice unfolds.",7.3,Documentaries
ReMastered: The Miami Showband Massacre,Movie,United States,2019-03-22,2019,TV-MA,The killing of three members of the Miami Showband sent shock waves across Ireland in 1975. Now one survivor doggedly pursues the truth.,7.0,Documentaries
ReMastered: The Two Killings of Sam Cooke,Movie,United States,2019-02-08,2019,TV-MA,"While Sam Cooke rose to stardom as a soul singer, his outspoken views on civil rights drew attention that may have contributed to his death at age 33.",7.2,Documentaries
ReMastered: Tricky Dick & The Man in Black,Movie,United States,2018-11-02,2018,TV-14,"This documentary chronicles Johnny Cash's 1970 visit to the White House, where Cash's emerging ideals clashed with Richard Nixon's policies.",7.2,Documentaries
ReMastered: Who Shot the Sheriff,Movie,United States,2018-10-12,2018,TV-14,"In 1976, reggae icon Bob Marley survived an assassination attempt as rival political groups battled in Jamaica. But who exactly was responsible?",6.9,Documentaries
Rembat,Movie,Malaysia,2017-08-21,2015,TV-PG,"Two huge soccer fans must go on a rambunctious road trip to fix a big match between Malaysia and Thailand, or they'll draw the ire of a loan shark.",4.8,Comedy
Remember,Movie,Canada,2018-07-26,2015,R,"Following the written instructions of his friend, senile Zev crosses the country to find and murder the Nazi who killed their families in Auschwitz.",7.5,Drama
Reply 1994,TV Show,South Korea,2019-08-08,2014,TV-MA,"All hailing from various parts of Korea, a group of college students go from being complete strangers to a big happy family at a Seoul boarding house.",7.9,Romance
Reply 1997,TV Show,South Korea,2019-08-08,2012,TV-MA,"As a teen, Shi Won was obsessed with a boy band. Now 33 years old, Shi Won and her friends are reviving their memories as their school reunion nears.",8.2,Romance
Republic of Doyle,TV Show,Canada,2020-05-28,2014,TV-14,A pair of father and son private investigators tries to keep their combustible personal lives in check while tackling an intriguing array of cases.,7.2,Crime
Requiem,TV Show,United Kingdom,2018-03-23,2018,TV-MA,"In the wake of a sudden tragedy, a London cellist unearths secrets that link her mother to the disappearance of a young girl in a small Welsh town.",6.5,Drama
Resident Evil: Afterlife,Movie,Germany,2020-01-01,2010,R,"The Undead Apocalypse continues as super-soldier Alice finds her way to a supposed sanctuary in Los Angeles, which may just be a deadly trap.",5.8,Horror
Residue,Movie,United States,2020-09-17,2020,TV-MA,A young screenwriter returns to his hometown to write a script based on his childhood and discovers his neighborhood has been gentrified.,6.1,Drama
Restaurants on the Edge,TV Show,Canada,2020-05-08,2020,TV-14,Three food and design experts travel the world to revive failing restaurants by connecting them to the local culture beyond their gorgeous views.,6.6,Reality
Restless Creature: Wendy Whelan,Movie,United States,2017-09-26,2016,TV-MA,"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.",7.1,Documentaries
Results,Movie,United States,2015-10-22,2015,R,"After an ugly divorce, a wealthy but unhappy man trains at a local gym and develops a strange relationship with the owner and a captivating trainer.",5.4,Comedy
Resurface,Movie,United States,2017-09-01,2017,TV-MA,A suicidal war veteran finds like-minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves.,7.0,Documentaries
Resurrection: Ertugrul,TV Show,Turkey,2019-09-24,2018,TV-14,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",7.7,Drama
Retribution,TV Show,United Kingdom,2018-01-30,2016,TV-MA,A dark web of secrets and lies emerges when a newlywed couple is killed and detectives question their feuding families.,6.6,Crime
Revenge of the Green Dragons,Movie,Hong Kong,2018-07-21,2014,R,"In gritty 1980s New York, two Chinese immigrant boys rise through the ranks of the infamous Green Dragons gang, where they're trained to kill.",5.3,Drama
Revenge of the Pontianak,Movie,Singapore,2019-10-24,2019,TV-14,A wedding in a Malaysian village leaves out one guest: a scorned vampire ghost bent on settling a secret score with the groom and anyone in her way.,5.2,Horror
Revenger,Movie,South Korea,2019-01-15,2018,TV-MA,"Hell-bent on avenging the murder of his family, a former detective infiltrates a remote island that serves as a prison for vicious death row criminals.",5.7,Action & Adventure
Reversing Roe,Movie,United States,2018-09-13,2018,TV-14,"Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade.",7.3,Documentaries
Rhythm + Flow,TV Show,United States,2019-10-09,2019,TV-MA,"In this music competition show, judges Tip “T.I.” Harris, Cardi B and Chance the Rapper hit the streets to find the next rap superstar.",7.6,Reality
Ricardo Quevedo: Hay gente así,Movie,Colombia,2018-01-24,2018,TV-MA,"Droll comic Ricardo Quevedo hits Bogotá with a set that touches on embarrassing misunderstandings, sex talk, the thrill of being scared and more.",6.5,Comedy
Rich in Love,Movie,Brazil,2020-04-30,2020,TV-14,"Rich kid Teto is determined to prove himself to Paula, his love interest. But when he tells her he grew up poor, the lie spins out of control.",6.0,Comedy
Richard Pryor: Live in Concert,Movie,United States,2016-12-01,1979,TV-MA,"Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target – himself.",8.2,Comedy
Richie Rich,TV Show,United States,2015-05-22,2015,TV-G,"After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure.",3.2,Comedy
Ricky Gervais: Humanity,Movie,United Kingdom,2018-03-13,2018,TV-MA,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally.",7.9,Comedy
Right Here Right Now,Movie,Germany,2019-06-16,2018,TV-MA,"The owner of a failing music club throws one last blowout, bringing together friends, foes and hard-partying weirdos for an unhinged New Year's Eve.",5.6,Comedy
Rilakkuma and Kaoru,TV Show,Japan,2019-04-19,2019,TV-PG,"Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear.",8.4,Anime
Rim of the World,Movie,United States,2019-05-24,2019,TV-14,"Stranded at a summer camp when aliens attack the planet, four teens with nothing in common embark on a perilous mission to save the world.",5.1,Action & Adventure
Rimba Racer,TV Show,Malaysia,2019-04-05,2017,TV-PG,"In this animated action series, a rookie driver seeks glory in a world-class auto race, but he’ll need more than just his talent behind the wheel.",8.1,Children
Rip Tide,Movie,Australia,2018-01-15,2017,TV-PG,"Following an embarrassing viral video, a New York model decides to escape from her suffocating existence by visiting her faraway aunt in Australia.",5.5,Drama
Ripper Street,TV Show,United Kingdom,2017-09-08,2017,TV-MA,"It's been six months since the last Jack the Ripper killing, and East London is hopeful that his reign of terror might have run its course.",8.1,Crime
Rise of the Zombie,Movie,India,2017-12-15,2013,TV-MA,"A heartbroken wildlife photographer throws himself into his work, only to find himself experiencing strange transformations.",3.6,Horror
Rise: Ini Kalilah,Movie,Malaysia,2019-02-27,2018,TV-PG,"Inspired by Malaysia's 14th General Election, this film trails six individuals and the obstacles they face in the days leading up to the historic event.",5.0,Drama
Rishta.com,TV Show,India,2018-03-15,2010,TV-14,Partners at an Indian matrimonial agency face endlessly challenging and often impossible demands as they help clients make the perfect match.,8.5,Comedy
Rising High,Movie,Germany,2020-04-17,2020,TV-MA,"Ready to do anything to get rich, a young man upends the Berlin property market with his shady pal, till the good times threaten to destroy it all.",5.7,Drama
Rita,TV Show,Denmark,2020-08-15,2020,TV-MA,"Independent, outspoken and adored by her students, schoolteacher Rita fares less well with adults in this comedy-drama from Denmark.",8.1,Comedy
River's Edge,Movie,Japan,2019-03-02,2018,TV-MA,"High schooler Haruna befriends loner Yamada, then is drawn into the tangled relationship between him, a model and the girl who loves him unreasonably.",6.2,Drama
Riverdale,TV Show,United States,2020-05-14,2019,TV-14,"While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery.",7.0,Crime
Road to Yesterday,Movie,Nigeria,2016-07-01,2015,TV-14,"Their marriage failing, Victoria and Izu try to reconnect during a road trip. But bringing long-repressed secrets to light threatens yet more discord.",6.1,Drama
Road Trip: Beer Pong,Movie,United States,2020-01-01,2009,R,"When three college pals hit the road to compete in a big-time beer pong tournament, their trip morphs into an outrageous odyssey.",4.9,Comedy
Roberto Saviano: Writing Under Police Protection,Movie,Italy,2018-05-01,2016,TV-14,"Italian TV host Pif revisits Roberto Saviano, who's been living under protection since publishing ""Gomorrah,"" his exposé on organized crime in Naples.",6.8,Documentaries
Robin Hood: The Rebellion,Movie,United Kingdom,2019-05-01,2018,TV-14,"When the Sheriff of Nottingham takes his beloved captive, Robin Hood embarks on a daring rescue mission at the tyrant's castle.",4.4,Action & Adventure
Robocar Poli,TV Show,South Korea,2017-09-01,2015,TV-Y,"When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day.",6.4,Children
Robot Trains,TV Show,South Korea,2019-12-31,2018,TV-Y7,"Keeping peace and safety in Train World is no easy task, but for five trains with the power to transform into robots, every crisis is an adventure!",5.4,Children
Robotech,TV Show,United States,2016-10-01,1985,TV-MA,"When a mysterious spaceship crashes in the Pacific, the people of Earth work to master the science of robotechnology and rebuild the giant fortress.",8.5,Anime
Robozuna,TV Show,United Kingdom,2019-03-15,2018,TV-Y7,A boy and his homemade robot enter the toughest competition in the universe while attempting to free their oppressed home from an evil empire.,6.0,Children
Rocco,Movie,France,2017-09-01,2016,TV-MA,Italian porn star Rocco Siffredi is showcased in this documentary that shadows the legendary performer during his final year in front of the camera.,5.8,Documentaries
Rock On!!,Movie,India,2019-12-15,2008,TV-14,"Four friends hoped that their rock band would be a hit. After breaking up, the band members reunite and take another shot at fulfilling their dream.",7.8,Drama
Rocko's Modern Life: Static Cling,Movie,United States,2019-08-09,2019,TV-Y7,"After 20 years in space, Rocko struggles to adjust to life in 21st century O-Town and makes it his mission to get his favorite show back on the air.",7.0,Comedy
Rocky Handsome,Movie,India,2017-02-17,2016,TV-MA,A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,6.8,Action & Adventure
Rodney King,Movie,United States,2017-04-28,2017,TV-MA,Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots. Spike Lee directs.,5.5,Drama
Rogue Warfare,Movie,United States,2020-03-28,2019,R,An elite international squad of uniquely skilled special forces is assembled to combat a rising underground terrorist threat in the Middle East.,2.6,Action & Adventure
Roll Red Roll,Movie,United States,2019-08-08,2018,TV-MA,"This compelling documentary follows the 2012 Steubenville, Ohio rape case, putting social media and high school football culture in the spotlight.",7.1,Documentaries
Rolling Papers,Movie,United States,2017-09-08,2015,TV-MA,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",6.2,Documentaries
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Movie,United States,2019-06-12,2019,TV-MA,"In an alchemic mix of fact and fantasy, Martin Scorsese looks back at Bob Dylan's 1975 Rolling Thunder Revue tour and a country ripe for reinvention.",7.7,Documentaries
Romantik Komedi,Movie,Turkey,2017-03-10,2010,NR,"Bored with her life and inspired by a friend's wedding, Esra quits her job and dumps her boyfriend, leading to a series of romantic misadventures.",5.3,Comedy
Romantik Komedi 2: Bekarlığa Veda,Movie,Turkey,2017-03-10,2013,TV-14,"Didem tries everything to get actor Cem to propose to her, but he's got other things on his mind: a beautiful new co-star and a secret bachelor party.",5.2,Comedy
Romeo Ranjha,Movie,India,2017-11-01,2014,TV-14,"Two common boys travel from India to Thailand to find success and money, enjoying their friendship and finding ways to cheat the cheats.",4.7,Comedy
Romina,Movie,Mexico,2018-07-13,2018,TV-MA,A shocking assault inspires horrific violence when a group of teens encounters a girl from their school while camping in a remote spot.,2.2,Horror
"Ron White: If You Quit Listening, I'll Shut Up",Movie,United States,2018-10-16,2018,TV-MA,"Ron “Tater Salad” White dishes out his signature brand of cynicism, riffing on sex, celebrity and the sinister habits of wild geese.",6.5,Comedy
Ronnie Coleman: The King,Movie,United States,2018-10-25,2018,TV-MA,"Today, legendary bodybuilder Ronnie Coleman's body bears the scars of becoming the best in the world. Here, he shares what it took to reach his goals.",7.0,Documentaries
Ronny Chieng: Asian Comedian Destroys America!,Movie,United States,2019-12-17,2019,TV-MA,"Ronny Chieng (""The Daily Show,"" ""Crazy Rich Asians"") takes center stage in this stand-up special and riffs on modern American life and more.",7.4,Comedy
Rookie Historian Goo Hae-Ryung,TV Show,South Korea,2019-07-18,2019,TV-14,Free spirit Goo Hae-ryung embarks on a new life as a scholar in the Joseon royal court after hearing about a government post for women historians.,8.2,Romance
Room,Movie,Ireland,2018-07-19,2015,R,"Kidnapped, confined to a tiny room and raped, a young woman gives birth to a son. When he reaches his fifth birthday, she begins plotting an escape.",8.1,Drama
Room for Rent,Movie,Canada,2019-03-01,2017,TV-MA,"To save his parents’ home, a lottery-squandering 32-year-old man sublets a room to a disarmingly creepy tenant.",5.4,Comedy
Room on the Broom,Movie,United Kingdom,2019-07-01,2012,TV-Y7,"A gentle witch with a ginger braid offers rides to a variety of animals on her increasingly crowded broom, much to her grumpy cat's chagrin.",7.6,Children
Roped,Movie,United States,2020-05-02,2020,PG,A star cowboy in a traveling rodeo gets thrown off course when he falls in love with the daughter of a tough-minded town councilman.,5.5,Drama
Rory Scovel Tries Stand-Up for the First Time,Movie,United States,2017-06-20,2017,TV-MA,"Comedian Rory Scovel storms the stage in Atlanta, where he shares unfocused thoughts about things that mystify him, relationships and the ""Thong Song.""",6.7,Comedy
Rosario Tijeras,TV Show,Mexico,2019-05-20,2018,TV-MA,Worlds collide when a vengeance-obsessed young woman from the other side of the tracks captures the attention of two well-off friends.,5.9,Crime
"Roswell, New Mexico",TV Show,United States,2020-06-23,2020,TV-14,"After 10 years, a woman returns to her sleepy tourist-occupied hometown and discovers her high-school crush is also an unusual foreigner.",6.1,Drama
Rotten,TV Show,United States,2019-10-04,2019,TV-MA,This docuseries travels deep into the heart of the food supply chain to reveal unsavory truths and expose hidden forces that shape what we eat.,7.1,Documentaries
Rowdy Rathore,Movie,India,2018-08-02,2012,TV-14,"A con man uncovers a deadly secret and must save his lady love, the little girl who insists she's his daughter and the small-town locals from the mob.",5.7,Comedy
Rudy Habibie,Movie,Indonesia,2019-01-28,2016,TV-14,"A biopic that explores the hardships and triumphs of the early life of B. J. Habibie, a transformative president of Indonesia.",7.5,Drama
Rugal,TV Show,South Korea,2020-03-29,2020,TV-MA,A police detective who loses everything to a criminal organization seeks payback when he gains special abilities through biotechnology.,6.7,Crime
Rugrats in Paris: The Movie,Movie,Germany,2019-10-01,2000,G,The Rugrats take to the big screen and visit Paris when Mr. Pickles gets summoned to fix a giant robot at the EuroReptarland theme park.,6.1,Comedy
Rukh,Movie,India,2018-04-01,2017,TV-MA,"Following the untimely death of his father, a young man begins to reconnect with his family while uncovering some difficult truths.",6.5,Drama
Rumble,Movie,Mexico,2017-09-15,2016,TV-MA,"An ex-MMA champion reduced to fixing fights in Mexico must win one last match to save his girlfriend, who's been kidnapped by the mob.",3.7,Action & Adventure
Running for Grace,Movie,United States,2019-06-19,2018,TV-14,"In 1920s Hawaii, a young man of mixed race and the daughter of a white plantation owner must overcome racial and class prejudice to be together.",6.1,Drama
Running Shaadi,Movie,India,2018-04-30,2017,TV-14,"A Bihari migrant runs a successful service to help couples elope, until the daughter of his former boss stirs the pot.",6.7,Comedy
Rurouni Kenshin,TV Show,Japan,2020-01-01,1998,TV-14,"A nomadic swordsman arrives at a martial arts school in Meiji-era Japan, where he lands in the middle of a conflict involving the opium trade.",8.5,Anime
Rush: Beyond the Lighted Stage,Movie,Canada,2017-02-15,2010,TV-MA,"Celebrate the remarkable 40-year career of influential Canadian rockers Rush with this documentary, which details the band's formation and evolution.",8.4,Documentaries
Russell Howard: Recalibrate,Movie,United Kingdom,2017-12-19,2017,TV-MA,"Self-deprecating comic Russell Howard plows ahead through politics, porn, social media and his own shortcomings. Yet he somehow keeps it positive.",7.4,Comedy
Russell Peters vs. the World,TV Show,United States,2013-10-14,2013,NR,"A four-part docu-series that's an exclusive, backstage pass to global comedy superstar Russell Peters' record-breaking ""Notorious"" world tour.",5.5,Comedy
Russell Peters: Almost Famous,Movie,United States,2016-10-07,2016,TV-MA,"The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human.",6.5,Comedy
Russell Peters: Notorious,Movie,United States,2013-10-14,2013,NR,"Global comedy star Russell Peters leaves no ethnic or cultural stereotype unsatirized in this outrageous standup appearance in Sydney, Australia.",7.1,Comedy
