Title,type,country,date_added,release_year,rating,description,IMDb,Genre
3 Seconds Divorce,Movie,Canada,2019-06-15,2018,TV-PG,"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",7.2,Documentaries
300 Miles to Heaven,Movie,Denmark,2019-10-01,1989,TV-14,"Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.",7.2,Drama
37 Seconds,Movie,Japan,2020-01-31,2020,TV-MA,"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",7.3,Drama
3Below: Tales of Arcadia,TV Show,United States,2019-07-12,2019,TV-Y7,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",7.8,Children
44 Cats,TV Show,Italy,2020-10-01,2018,TV-Y7,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",6.4,Children
48 Christmas Wishes,Movie,Canada,2017-12-20,2017,TV-G,"When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.",4.0,Comedy
5 Flights Up,Movie,United States,2019-03-17,2014,PG-13,"A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",6.2,Comedy
5 Star Christmas,Movie,Italy,2018-12-07,2018,TV-14,"When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",4.5,Comedy
6 Balloons,Movie,United States,2018-04-06,2018,TV-MA,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,5.8,Drama
6 Days,Movie,New Zealand,2018-02-08,2017,R,"When armed gunmen seize the Iranian Embassy in 1980, a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid.",6.2,Drama
6 Underground,Movie,United States,2019-12-13,2019,R,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",6.1,Drama
6 Years,Movie,United States,2015-09-08,2015,TV-MA,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",5.6,Drama
6-5=2,Movie,India,2017-11-01,2014,TV-MA,"Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical.",6.0,Horror
68 Kill,Movie,United States,2019-09-01,2017,R,A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.,6.0,Comedy
7 Khoon Maaf,Movie,India,2018-08-02,2011,TV-MA,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed.",6.1,Drama
72 Cutest Animals,TV Show,Australia,2016-06-01,2016,TV-PG,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,5.7,Documentaries
72 Dangerous Animals: Asia,TV Show,Australia,2018-08-10,2018,TV-14,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",6.6,Documentaries
72 Dangerous Animals: Latin America,TV Show,Australia,2017-12-22,2017,TV-14,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",6.8,Documentaries
72 Dangerous Places to Live,TV Show,Australia,2016-06-01,2016,TV-PG,"Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.",6.4,Documentaries
90 ML,Movie,India,2019-08-13,2019,TV-MA,Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.,3.3,Comedy
93 Days,Movie,Nigeria,2020-03-05,2016,TV-PG,Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,6.0,Drama
A 3 Minute Hug,Movie,Mexico,2019-10-28,2019,TV-PG,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,6.4,Documentaries
A Bad Moms Christmas,Movie,United States,2020-02-14,2017,R,"Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit.",5.6,Comedy
A Beautiful Life,Movie,China,2018-12-01,2011,TV-14,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",6.7,Drama
A Billion Colour Story,Movie,India,2018-04-01,2016,TV-14,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.,7.8,Drama
